question_id,kc_id,name,description
56,22,DDL,"A data definition language (DDL) is a computer language used to create and modify the structure of database objects in a database. These database objects include views, schemas, tables, indexes, etc."
56,23,Data type,Data Types define the type of value that can be stored in a table column.
38,16,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
39,13,Tuple,A tuple is an ordered list of n elements.
39,14,Relational data model,The relational model represents the database as a collection of relations.
41,13,Tuple,A tuple is an ordered list of n elements.
41,14,Relational data model,The relational model represents the database as a collection of relations.
42,18,Superkey,A superkey SK of R is a subset of attributes of R.
43,19,Foreign key,A foreign key is a column or group of columns in a relational database table that provides a link between data in two tables.
44,18,Superkey,A superkey SK of R is a subset of attributes of R.
17,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
57,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
66,34,Primary Key,A primary key is a special relational database table column (or combination of columns) designated to uniquely identify all table records.
66,20,Schema,A relation schema has a relation name and a list of attributes.
71,35,SELECT DISTINCT,"The SELECT DISTINCT statement is used to return only distinct (different) values. Inside a table, a column often contains many duplicate values; and sometimes you only want to list the different (distinct) values."
72,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
218,97,Logging,Logging is a technique for recovery (assuring atomicity and durability of transactions).
165,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
165,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
169,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
169,77,Projection,"choose certain attributes (i.e., columns)."
169,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
59,30,INSERT,The INSERT statement is used to add tuples into a relation.
64,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
60,30,INSERT,The INSERT statement is used to add tuples into a relation.
61,31,DELETE,The DELETE statement is used to remove tuples from a relation.
62,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
62,28,DML,"A data manipulation language (DML) is a computer programming language used for adding (inserting), deleting, and modifying (updating) data in a database. A DML is often a sublanguage of a broader database language such as SQL, with the DML comprising some of the operators in the language."
17,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
18,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
18,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
19,13,Tuple,A tuple is an ordered list of n elements.
19,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
74,37,COUNT,COUNT returns the total number of argument values
74,36,GROUP BY,GROUP BY attribute list groups tuples for each value combination in the attribute list.
20,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
20,13,Tuple,A tuple is an ordered list of n elements.
